id;name;path;type;hospital_id;doctor_id;department_id
1;Cambridgeshire International;Dollar Spurs Front-line;AVATAR;22019;85586;88131
2;recontextualize Harbors;Buckinghamshire JSON;AVATAR;69699;21601;84605
3;blockchains Steel;Synergistic quantify Clothing;AVATAR;41821;46470;72015
4;hack Producer;Utah port;DESCRIPTION;39591;29686;92916
5;communities Virginia groupware;RSS calculating flexibility;LOGO;11781;14092;37147
6;Ireland Cambridgeshire;Lempira Metal;AVATAR;39574;7880;84915
7;Mouse navigate;deposit Director Pitcairn;LOGO;97694;20020;75348
8;SDD Leu;web-readiness National mindshare;AVATAR;15990;76928;62948
9;auxiliary;paradigm Cross-group;DESCRIPTION;42353;90460;82205
10;Awesome Beauty models;PNG;DESCRIPTION;87918;5323;79940
