id;time;description;price;status
1;wireless Pizza Kentucky;Tactics;46630;false
2;Minnesota SDD Borders;plum;55115;true
3;Towels Berkshire turn-key;Supervisor Kenyan Berkshire;3834;true
4;New SCSI;initiatives;63736;true
5;Automotive;impactful;2972;true
6;framework;Technician Dollar;85144;false
7;Consultant installation;Beauty optical;64433;false
8;red Rubber Buckinghamshire;Reactive;22854;false
9;sticky Coordinator;connecting;95529;false
10;indigo Valleys Squares;Brand invoice Cambridgeshire;27219;true
